No,Review
110,"Gak bisa login maupun daftar,kemarin chat nya g bisa terus saya logout pas mau login g bisa mau daftar pun g bisa.aplikasi sudah di update.sudah hapus data,hapus cache DLL.apa saya harus pakai aplikasi lain?"
111,"Biasa saja, aplikasi ini...selalu di update setiap bulannya..."
112,Apa sih gk bisa gratis ongkir aku nyesel donlot ini bikin kaouta ku abis
113,"update mulu, jadi makan waktu,penghapusan cache tidak pengaruh,update tuh setaun sekali, ini mh menghambat waktu aja jadi serba nge hang kalau gaa di update,tolong konsisten dalam ketentuan meng update agar transaksi penjualan dan pembelian tidak ribet"
114,Semua voucher game 4rbu ternyata hoax
115,Kenpa tiba2 suka keluar dan harus login lagi ..Terus eror gk bisa diklik ??
116,kodenya gak dikirim2 ngebug terus????
117,Jngn dowload ongkirnya mahal masa barang cuma 15 rb ongkirnya 75 rb
118,Menjijikan sekali aplikasi ini
119,"Ribet banget sekarang, sangat kecewa!!!"
120,Orang2 heboh dapat kenaikan limit...lah gw limit malah NOL dari semenjak Corona... WHY??? padahal gk prnh telat bayar.... Jiiirrr
121,Mau batal pesanan tidak bisa
122,aplikasi tidak bisa transaksi
123,"Tadi nya saya sudah kasi bintang 5 , jadi begini saya beli barang . Posisi saya lagi kerja Terus. Disitu stattus sudah di terima atas nama saya . Tolong dong kasi tau kurir nya kalau misalkan di titipin ke kluarga , di terima nya atas nama keluarga . kalau oleh tetangga di sebuntukan nama nya . Ini skarenag barang saya belum sampai tapi stattus nya sudah di terima !! Parah"
124,"Uang kembalian dari J&T nya robek, rusak engga layak buat di pakai lagi"
125,hbs update mau upload produk ribet bnget di bagian merk suka gak muncul bikin kesel aj.
126,Sungguh sangat di sayangkan.. Kenapa Di aplikasi ini tidak semua wilayah bisa menggunakan jasa kurir grab atau gosend. Dicek cuma untuk wilayah JADETABEK. Lalu apa wilayah lain tidak ada keadilan bangetu ?? Maaf hny sebuah masukan.. Semoga kurir tersebut bs merata di gunakan di semua wilayah
127,assalamualaikum ko lama ngedonloud nya sih??bisa gak di cepetin soal nya kuota aku takut habis baru beli kemaren????????????
128,"aplikasiya penjual terbesar,tapi untuk masuk login ke akun sendiri sangat susah ,,,layanan super jelexxx sekali susah mendapatkan kode Otapi...gak ngerti apa masalahnya....aplikasi parahhhh"
129,Nganter nya lama cuman beli sepatu doang 7 hari baru sampai
130,Ya mudah ya murah puas belanja Ga ribet
131,salah beli gak bisa di pengembalian barang dasar aplikasi sampah
132,JANGAN ADA LAGI UPDATE APLIKASI LAGI DI PLAYSTORE !!.
133,Ah gak bagus suka ngehang jangan gunain aplikasi ini
134,"Banyak bug, user experience diperhatikan juga lah, aplikasi mulai berat."
135,"Setelah diapdute ko malah gak bisa lihat etalase toko nya ya,malah informasi gangguan suruh muat ulang aja. Jadi gak bisa liat² barang²nya."
136,"sudah update, masukan keranjang, di checkout tinggal bayar. Koneksi terputus terus padahal gw lancar sambil telfonan.. why?"
137,Kenapa kok kluar sendiri. Akun sandi pdhal bner. Ttep salah. Mana sudah trlanjur beli barang. Gimana sih
138,"Makin kesini ongkirnya makin mahal, harga barang sama ongkirnya malah mahal ongkirnya&sudah gak ada voucher gratis ongkir lagi"
139,"Gak suka saya padahal koin saya 200 jadi 15, kenapaa kya gitu gak mu main lagii saya"
140,Ini aplikasi buat belanja yh bukan buat download video..kenapah gw masuk sinih
141,Aplikasi nya sudah di instal coba nunggu nya lama ampe 2 jam ehh pas di akhir malah suruh instal lagi.. Dikira kuota dibeli pakai daun apa
142,Maaf bintangnya aku ambil lagi 3!!! Kenapa jasa pengirimannya gak bisa pilih lagi???!! gak asik banget jadi sama kayak tokped dirandom gitu!! kalo dapat sicepat gak suka banget!! tolong dong balikin lagi kayak dulu baru aku ubah lagi jadi bintang 5.
143,Lu kalau gw nonton anime jngn muncul mulu donk
144,Tidak memuaskan
145,"Ga ngasih solusi percuma live chet sm agennya, malah bikin emosi"
146,Tolong jangan lola dong aplikasiny??
147,Voucher gratis ongkirnya gak bisa kepakai
148,"Aplk tolol,, setiap mau belanja harus log-in dulu,,padahal sudah log-in dari awal install"
149,"Masak cuma saya yang g bisa cod. Biasa nya bisa cod kok tau2 g bisa. Aneh, yang undian berhadiah nya juga kelihatan tipuan. Parah"
150,Mimin ngg bisa cek out nihh
151,Enakan yang sebelumnya saat tidak ada opsi pengiriman hemat reguler dll..ribet mahallllllll...sy sudah nyaman dengan yang lamaaaa...pindah toko ajalahhhh ...
152,"Saya tidak bisa log in, setelah ganti hp, mau log in pakai nomer hp, pakai facebook, pakai email juga tidak bisa, kenapa jadi ribet banget"
153,Tolong jsn iklan lo mulu oi
154,"Penjualnya banyak yang gak amanah, tolong ditingkatkan lagi kwalitas dan penjual2 nakal tolong ditindak."
155,"Narik dana penjual dari Tanggal 30-05-2020 sampai 09-06-2020 belum juga masuk ke rekening bank, udh komplain ke email tapi gak ditanggapi dasar APLIKASI BANGSAD!"
156,Kecewa saya beli produk tapi rusak/kw/tidak ori...! Tolong tumpas toko yang menjual barang palsu Fokus layanan! Mending beli di lazada gampang kualitas terjamin BALAS! JANGAN CUMA DIAM SAJA!
157,Mahal banget ongkirnya??.aku baru download 1 minggu sudah aku hapus
158,"order barang,mau cancel karena salah pilih, pembatalan ditolak padahal barang belum dikirim, kecewa sangat kecewa sama aplikasinya."
159,Niatnya mau instal tapi pelanggan dan pemakainya bnyk yang ngeluh jadi gak jadi untuk instal nih aplikasi
160,dapat kupon tapi gak bisa di klaim
161,Jelek produknya
162,Gk pernah daper voucher cok
163,tidak bksa upload video untjk bukti oengembalian produk
164,"Aplikasi suka ngelag, gambar/ photo ngga keluar padahal FB,browser lancar. Sayang sekali padahal seneng belanja sini karena promo ongkir.lama lama gondok juga kalau gini."
165,Mkin payah aplikasi nya berjalan... Bnyak event..tapi aplikasi susah berjlan... Hanya memikirkan keuntungan semata..tidak memikirkan kenyamanan konsumen... Gk berguna..
166,Jelek banget ini aplikasi mau main aja gak bisa
167,Knapa ongkirnya jadi mahal mahal banget
168,"Bintang 1 lebih co2k, setelah di Update malah di ubah gak bisa milih kurir/jasa pengiriman,tidak perlu gratis ongkir yang penting bisa pilih kurir."
169,Kok ngga bisa metode COD? tulisannya bisa padahal
170,Dah lah males ??
171,"Saya baru bergabung,semoga apa yang saya mau selalu ada"
172,"Aduh kesel sekali kalo kek gini pesan banyak barang malah bedah bedah expedisi ?????? yang mau cepat jadi lambat, sudah di perkirakan datang nya hari ini malah gak datang kalo gini kecewa sekali... tolong balikin seperti awal walaupun Potongan ongkirnya Masi bayar sisanya"
173,Iklan mengganggu
174,sangat buruk barang saya tidak sampai² seharusnya sblm tgl 18 januari sudah sampai tapi gak sampai² hri ini sudah tgl 23 januari.
175,"Tolong perbaiki ya masa saya susah dapat Sms Otapi ke nomor saya sendiri, mau belanja jadi susah gimana ini????"
176,Waktu di update malah muncul putih doang. Aku kira handphone aku yang bermasalah. Ternyata selesai di servisin tetep aja muncul putih doang
177,Pengiriman terlalu mahal
