No,Review
359,"Barang sudah sampai, tapi tidak bisa membaca .. Selalu ada tulisan ""the disk is write protected"""
360,nyesel..tidak bisa dipakai.
361,pengirimannya lama.. sampe sekarang belom terima... plis koreksi lagi soal kirimannya ...
362,"produk jelek, tiap diisi data ataupun video, tdk bisa dibaca. fake produk. not rekomended"
363,"Saya pesen USB flashdisk Toshiba 8GB untuk hadiah orang, ternyata setelah di cek kapasitas-nya cuma 128MB. Harga memang murah, tapi hati-hati waktu terima barang. Kecewa berat. beli 3 pcs, 1 gak ke detect, 2 gak bener. :-("
364,"Kak Knp Ya Kalau Di Isi Video Malah Rusak Ini Flashdisk khusus lagu sama foto sama tugas"" Tapi Ya Ngapapa De ?? Aku Kecewa"
365,Jelek tidak berfungsi. Lcd pecah cacat. Kecewa sekali membeli barang disini. Tolong panduan nya caranya returt gimna.
366,"Hard disknya sesuai, tapi sayangnya antivirusnya ga bisa di pake, karena udah exp date. Kalo bisa dikasih tau juga tanggal akhir untuk aktifasi antivirusnya, walau cuma bonus. Tetep ada rasa kecewanya.."
367,"Ini kan smart tv,tapi kok tidak ada keyboard nya ?? ya bagaimana mau operasikan fungsinya sbg smart tv? Tolong direspons,saya kecewa sekali jadi mesti ttp keluar uang lagi dongg utk beli keyboardnya,kapokkk beli alat elektronik di Lazada terutama dari Permata Elektronik"
368,"Belum juga nyampe, malahan udh lewet 3hari.......kecewa"
369,Baru berapa bulan tv mati gak jelas.
370,"Kecewa banget, Flashdisk emang bener kapasitas 8gb tapi Flashdisk nya itu yang rusak bukan Flashdisk baru & udah kena Virus jadi setiap data yang masuk ke Flashdisk jadi Virus Sortcut. Jadi Flashdisk tidak bisa di gunakan. Kalau jualan yang bener jangan jual barang rusak."
371,"Penipuan nih, nanti barang nya digagalkan dengan alasan stok barang habis. Akhirnya uang konsumen tertahan selama 7 hari lebih."
372,kecewA
373,"Flashdisk KW, gak bisa dipake.. tiap copy fildm jadi corupt"
374,flashdisknya tidak sesuai dengan pesanan dan tidak bisa di pakai sama sekali sya mohon bila flashdisk sudah rusak jgn di jual
375,jelek ga kebaca
376,"harga mahal barang tidak berfungsi biruk sekali,its so bad not recomended."
377,stok tidak tersedia kenapa di pajang foto n berikut harganya
378,"baru saya hidupkan satu minggu , produk mati, garansi ke mana , tak ada stempel garansi , power hanya remote, manual dmana waduhhhh gmn solusi"
379,pesanan tidak dikirimkan karena alamat tidak ditemukan.padahal saya sering belanja di lazada dan barang yg saya beli sampai di rumah kok ini gak bisa.gimana nihhh
380,mohon dilakukan pengecekan kembali karena saya belum terima barang per tanggal 20 Desember 2017 sedang status sudah terkirim di tanggal tersebut. jangan sampai konsumen dikecewakan
381,mas minta nomor resi pesanan yang ini #3183185732 ko ga ada nomor resinya adanya cuma nama jasa pengirmannnya doang
382,"pesenan saya kenapa belum sampai ya,padahal status sudah terkirim,mohon informasi segera"
383,Pengiriman sangat lama
384,"Pesen tgl 02 juni estimasi sampai tgl 04 - 07 juni,, lha ini udah tgl 11 juni blm ada kabar juga...."
385,"Hi, itemnya ready untuk dibeli sekarang. Silahkan langsung pesan ke (Whatsapp) 628166-16725. Untuk pengiriman cepat ke daerah Anda, Terimakasih Lazada Perlindungan PEMBELI 100%"
386,Kecewa
387,Sudah cape2 transfer tapi pesanan ditolak
388,"payah nih,di keterangan kecwpatan 3.2 ternyata enggak, kecewa deh"
389,"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt."
390,hati hati ini tv ga bisa pake USB
391,kecewa sekali
392,"kecewa, jgn dibeli. beda jauh sama di gambar."
393,"Paketan dan barang nya bagus , tetapi case yg di kasih tidak bisa digunakan untuk hdd tersebut (tidak muat) , tapi lumayan lah . dan untuk kurir LEX.id saya sangat kecewa karena telat dan berbelit-belit"
394,"tidak berguna, kabel usb tidak berfungsi.."
395,Palsu
396,Tulisannya doang 8gb tapi pas di buka cuma 2gb sangat kecewa
397,"ini gmn ya gan.? kapasitasnya kemakan 1.5 GB jadinya bukan 16GB atau 15.9GB tapi 14,5GB. kecewa banget."
398,"sngt kecewa..,brng gk sesui foto,gambr gk jernih..,andai sja bsa di kemblikan...,saya di ptong 100rb gpp..."
399,w ga nyaranin kalian tuk bli barang ini. cukup w jah yg kecewa
400,barang sewaktu di charge plugged in tapi tidak mengisi
401,"lhaaa,,, saya berulang kali mesen dengan alamat yang sama, kok yg ini malah gagal sampai? pasti salah di si pengirim ni, karna saya input alamat saya selengkaplengkapnya. yasudahlah"
402,"ini barang kw, ga bisa nyimpen app, ga bisa pindahin app dari device k sd card nya, rugi mahal tapi kw..."
403,pengantaran sangat cepat kemarin sore pesan har inii datang. tp kecewa krn real kapasitas nya cuma 29.71GB
404,USB 8GB ini ga bisa di pakai
405,edisi salah baca...saya kira 64 gb ternyata 64 mb....sangat kecewa
406,"Hati2 belanja di lazada kalau barang kurang ga bisa dikomplain karena g ada cara untuk kembalikan dana, adanya barang rusak/ atau kembalikan barang,untuk komplain barang kurang tidak ada pilihannya, kemudian sudah lapor cs live chat tidak membantu, hanya bilang diurus saja, sampai saat ini komplain barang yang kurang 1 tidak ada tindak lanjutnya sama sekali, sudah beberapa live chat saya tanya ,selalu sama jawabanya dibantu2 dan begitu, order no #3232845112, barang kurang 1 , dana belum di refund, terpaksa saya tulis disini ,mohon maaf yaa"
407,Kondisi Barang Rusak tidak dapat di pakai.. Mengecewakan ini bukan Ori.
408,mudah rusak
409,barang tidak ori
410,Pesenan sy sudah seminggu kenapa belum nyampe ya...nyasar dmn ini.sudah tidak sabar pengen lihat barangny..kalo bagus sch gpp.sudah lama dan barang gk ok..kan tambah kecewa gan
411,tidak sesuai gambar dan deskripsi
412,"Beli 2, baru 1 yg saya coba... ternyata nyimpan file gak semuanya ke copy dan ada sebagaian file corupt. Saya rasa kapasitas tidak sesuai dgn tertera walo di cek itu yg tertera.. saya coba partisi ulang ternyata emang ia, emang yg bisa kepake hanya 270mb dari semula 8gb... yg satu lagi jadi saya pajangin aja buat hiasan dinding masih tersegel karna sudah males bukanya...baru kali ini kayanya saya agak kecewa belanja di sini.."
413,Baru pakai 3 hari hdd sudah rusak data hilang! Jangan di beli ! Tidak di rekomendasi
414,"Tidak sesuai gambar,tidak ada obeng,dan tidak ada dompet/kantung pelindung yg ada digambar,tolong diperbaiki"
415,"Kecewa bgt,brg palsu.perlu di tindak lanjuti penipuan!!!"
416,Jangan tipu pembeli Saya beli CANVIO READY Dikirimkan CANVIO BASICS Penjual pasti tahu bedanya Sungguh kecewa
417,barang sdh datang tp ga bs dipake. kecewa.
418,Data dapat disimpan dengan cepat. Tapi setelan saya buka kembali data saya hilang semua. Saya kecewa
419,ga bisa conect ke laptop saya. kecewa
420,dagang ini PENIPU! bilangnya USB 3.0 tau2 yg dateng USB 2.0! harganya mahal lagi!
421,Ga bisa dipakai...
422,"flashdisk tidak berfungsi sempurna,, loading terus dan data jadi tidak bisa terbuka. agak kecewa."
423,Jelek
424,barang kw
425,"Saya order dr tanggal 25. Sampe skrng statusnya masih ""sedang diproses"". sampe kapan saya nunggu???"
426,Pesanan gak datang2
427,mau pesan takut gak nyampe...
428,cepat sih tp ga ga trbaca suwe...
429,"Hardisk nggak bisa di install, dan lampu power nggak nyala"
430,brg begini kok dijual ya. ampun dah. cm buat ngelabui customer.
431,"Ada harga ada kualitas.... Banyak file yg sdh dicopy, langsung lenyap saat dibuka di laptop lain..."
432,Tampilan luar : oke.... Fungsi : error di kesempatan pertama mencoba copas file Kesimpulan : ada uang ada kualitas barang
433,hanya bs digunakan sebentar. udh itu gak tau jd gak bs dipakek. trus tdk bs menyimpan semua file. hanya file2 tertentu yg bs disave dan diibuka kembali. kenbanyakan tdk bisa dibuka.
434,Masih jual 64mb
435,Sudah 1 minggu belum nyampe barangnya.
436,Pengiriman tidak sesuai tanggal yang tertera
437,"Kaget Pertama kali ngembuka dan mengangnya, sangat ringan dan dimensinya lebih tipis dari yang sebelumnya, dan pacingnya rentang cm dibalut babble wrap + bungkus amplo kuning yang di lakban, beda dengan punya saya yang sebelumnnya (kapasitas sm 2 Tb), sy sempat ragu akan keasliaan ini produk, dan saya cek di transcend-info.com , ternyata asli, dan ter tekam warna kapaitas + Garansinya hingga 2021, hampir kecewa awalnya, karena bentuk kotanya juga sudah penyok"" dan kotak bagian bawahnya sudah ke terkelopek baiagan kirinya, tp ada kartunama penjualnya, sy langsung hub via wa, dan menanyakan maslah kartu garansi yang gk ada dipaket pembelian, katanya sih, utk klaim ckp bukti nota pembelian + unit utk bonus nya lumayan, 16 gb, sm poch, dan headsetnya gk gunan, wkwkwkwkw keseluaruan sya lumayan puas semoga ditungkatkan lagi"
438,Barangnya lama sekali
439,Sangat kecewa gak sesuai gambar
440,"Saya pesan warna hitam, yang datang warna putih. kecewa. gak sesuai ekspektasi"
441,kecewa . barang saya terima dalam kondisi pecah layarnya.
442,"kecewa,sdh sy terima brgnya..tadi gk yakin dgn hrg segitu Rp 90.800 plus dpt bonus kabel OTG..sdgkan hrg dipasaran sekitar 120an ribu..tidak sesuai! Baru skrg sy belanja di Lazada dpt barang rongsokan"
443,kulaitas bagus.cm kecewa ama pengiriman nya sangat amat lama..!! thx
444,Produk tidak respon dilaptop. space 0 bytes. saya sangat kecewa.
445,"Pengiriman lama. pada estimasi sebelumnya akan sampai hari senin 04 Feb '19 tapi ada notif pesanan di batalkan, kemudian pesanan berubah schedule pengiriman tgl 05-09 Feb '19. Dan sampainya PAS hari sabtu 09 Feb '19. Review barang. saya beli yg 16GB free 8GB. tapi sayang 16GB sudah di pakai, dan di dalamnya sudah ada isi photo orang yang lagi sidang skripsi ""Ini serius mau jualan ?"" dan yg buat kecewa selain pengiriman lama dn berubah status isi 16GB yg sudah terpakai tersebut bila di format hanya 3.89GB. ini serius beli 16GB yg d dapat cmn 3.89GB. Lazada tolonglah di bantu mengenai seler sprti ini. kita bukan cuman sekedar cari murah tapi jg kualitas."
446,Saya menerima pouch ukuran 3.5 bukan 2.5. Kecewa...
447,baru 10 bulan layarnya dah bergaris
448,"barang sudah sampai, dan tidak bisa di gunakan, sungguh kecewa mau refund pasti ribet"
449,Udah di tunggu2 belom sampe juga udah lewat extimasi mending an di kirim sama kurir LEX dari pada pos Indonesia udah di kasih no resi salah lagi KECEWA
450,g bs dipakai. sangat kecewa
451,Saya pesan uang sdah d transfer tapi barng tdk sampai
452,Kecewa 1 rusak
453,pesanan yg saya terima hanya case hardisk usb obeng dan sekrup saja .. tidak sesuai dengan judul iklannya.. dan saya sudah mengajukan pengembalian dana sesuai respon pelapak trimakasih
454,"pesan barang Dari tgl 12 Feb 2017, sampai detik ini barang tidak di terima, di email no resi Dakota tapi link email yg dikirim tidak bisa diakses error terus, kompalin ke lazada via live chat via customer care semua menyampaikan akan di konfirmasi via email tapi sampai detik INI pun tidak Ada email masuk sy terima dari lazada, tidak tanggap Dalam menangani komplain customer tdk spt olshop lain yg cpt menanggapi kalau Ada keluhan jd customer merasa dibantu, sy beli barang bermaksud bwt hadiah malah jadi sia2, lokasi saya hanya do bogor masa seminggu ga sampai2 pengiriman Darimana? Dari Papua? kendala Ada dimana tolong donk dijelaskan!!! bukannya dibiarkan menunggu Tanpa Ada kejelasan!!!! KECEWA !!!"
455,"Kecewa, flashdiskny ga bisa diformat ke NTFS + copy file gede corrupt, mw jdiin bootable windows eh detect ny bkn 32gb malah jadi 33gb -_- abal nih fd kekny..."
456,"Deskripsinya toshiba canvio basic,, namun yang datang toshiba canvio ready jadi berbeda type,, agak kecewa"
457,"produk jauh dari yang diharapkan, sangat kecewa."
458,"KECEWA! sebelum pesan sudah saya tanya dulu kepada seller ini untuk make sure apakah benar beli flashdisk akan dapat kabel otg dan powerbank! KATANYA IYA! TAPI NYATANYA! ketika barang datang yang ada hanya flashdisk dan kabel otg! POWERBANKNYA TIDAK ADA! Setelah itu saya follow up menanyakan powerbanknya ,katanya akan dikirim dan selang berapa hari kemudian bilang powerbanknya sudah dikirim! TAPI SUDAH SEMINGGU LEBIH SAYA TUNGGU NAMUN POWERBANKNYA BELUM DATANG JUGA! PADAHAL POSISI PENJUAL DI JAKARTA JUGA ,MASA KIRIM DALAM KOTA SEMINGGU LEBIH??? saya chat seller ini namun hanya di baca saja sudah gitu responnya lama... NOT RECOMMENDED! KECEWA TAPI SUDAH SAYA IKHLASKAN SAJA.. TERIMA KASIH"
459,"kecewa sama flashdisknya kapasitasnya berkurang 2,8 GB udah gitu gak konek ke otg ... gimana ini ?? saya minta kembali aja uang nya buat apa mahal""tapi gk konek ke otg"
460,kesimpulan kecewa
461,"mohon maaf,, knapa fd ini kok mau copy file 1,5gb di fd langsung corrupt... pdhl file saya copy enggk corupt tuh . dan kalau mau eject gk ada tulisan merk ""toshiba"" atau ""transcend"" ini kok ""Flash Disk""... kecewa saya pdhl fd nya 16 gb tpi copy file 1 gb lebih tdk bsa..."
462,flash diak rusak kecewa saya
463,"Baru kali ini kecewa dg lazada. Pertama saya pesan antar pakai gojek dan ternyata barang 3 hri baru sampai. Kedua saya pesan yg model atm mandiri tp yg datang BCA, ketiga setelah saya gunakan ternyata flasdisk tidak bisa digunakan.. Sangat sangat kecewa.."
464,kecewa gk bisa di pakai buang buang duit
465,fisik dalam tidak memakai Hdd toshiba tapi memakai Hdd Hitachi size cocok 2T.. sedikit kecewa.. soal fisiknya yng g pakai Hdd Toshiba dan Harganya sekarang itu loh kok malah diturunkan
466,Pengiriman super lama.. tapi datang juga sich
467,"Barang datang 2 hari akan tetapi tidak dapat di gunakan, saya sudah coba berkali2 ke hardisk yg lain ttp tidak bisa di gunakan. Saya sangat kecewa!!!!"
468,"jgn berjualan klo tidak detail tentang barangnya yang ada lazada membuat costemer kecewa, klo tidak jelas apa yg dijual dilazada"
469,"Kurang puas dengan pengiriman Barang melalui ESL EXPRESS, karena pengiriman Dari jakrta harus transit ke Palembang. tidak langsung ke bengkulu. jadi agak lama sampai."
470,"masa flashdisknya error, gimana dong. tuker bisa gaa? aku kecewa banget"
471,"sumpah kecewa banget sama lazada, baru kemarin beli flashdisk, ini dipakai buat copy, tpi filenya gk muncul, cuma shortcutnya doang, gak sebanding dngn harganya yng mahal,"
472,"Barang sudah diterima,sesuai estimasi waktu, bagus bahannya semoga awet..tetapi yg saya terima warnanya biru,sedangkan yg saya pesan warna merah. Agak kecewa sih, tp gapapa, terimakasih lazada dan seller"
473,"barang lumayan tapi kecewa dengan pengirimanya pesen jum'at nyampenya hari senen,tlong dong bwat pengirimannya harus tepat waktu"
474,Pesan tgl 8 des 2017. Pengiriman dgn Gosend. Barang sampai dgn hari ini belum saya terima (blm sampai) dan anehnya distatus pengirimannya barang sdh diterima. Anehnya lagi pada status tsb jam order sampai dgn jam barang terkirim ngawurrr... sdh mencoba menghubungi seller tp sama sekali tdk ada response. Mencoba menghubungi lazada juga jawabannya standart tanpa ada solusi yg jelas. Bener2 kecewa dan merasa tertipu!!!!!!!
475,"Pengiriman lama, warna yang dateng putih bukan hitam"
476,flasdisk tidak terbaca..sangat kecewa
477,"Flashdisk saat dicopy file yg kebaca setengah doang, ud mana beli 2, saya tertipu pantes g garansi, hati hati untuk yg mau beli"
478,barang tidak sesuai dengan iklan.. yg di pajang 32gb.. yang datang 16gb.. saya sangat kecewa dengan seller ini.. tidak di rekomendasikan untuk beli disini
479,Kok gabisa dicolokin ke hp?? gamasuk. kecewa ah tampilan doang bagus
480,"kecewa dengan pelayanannya, pesanan sameday tapi ngak diantar, dan gk ada kontak kurir dan toko"
481,katanya mau mau nonton film dengar musik tinggal colok usb. ternyata usbnya buat service only. penipuan ini namanya. saya mau lomplen ahh. soalnya tujuan saya beli tv ini untuk saya nonton film melalui usb. kecewa saya
482,"MENGECEWAKAN Saya beli CANVIO READY Dikirimkan CANVIO BASICS Penjual pasti tahu bedanya, beda harga beda fitur Sungguh kecewa"
483,"Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu"
484,"Barang sesuai pesanan, tapi sedikit kecewa dengan pengiriman, pesan tgl 14 dan smpe tanggal 23. Setelah di Test Ok ngk ada masalah, kecepatan membaca dan menulis file juga Mantap. Thanks ^_^"
485,"PESANAN GA SESUAI BARANG,MESAN SONY 8GB KENPA YG DIKIRIM TOSHIBA 8GB.. SANGAT KECEWA,CUMA MAU UNTUNGNTYA DOANG NIH YG DAGANG"
486,"Kecewa,,smua fto yg aq msukin gk bsa d bca pdhl fto pnting tntg prawed,muncul dsaat buka stlh di open with file tdk di dukung..hlng smua fto2q gara2 UsB ni smuqa komputer kena virus dan mrmbet ke USB yg lain,palsu"
487,Jangan sampai beli seller penipu lagi kurang stabil otaknya sudah banyak jadi korban ditolak alasan stock habis
488,Kecewa sama pihak lazada. Pengiriman melewati jauh estimsi waktu sampai 15 hari. Pihak lazada telah membatalkan melalui email sehingga saya memesan kembali malahan yang datang 2 produk. Semakin lama semakin buruk lazada
489,"barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d"
490,rusak gk bisa dipakai kapok
491,Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?
492,"jelek banget, bener2 kecewa. fd nya corrupt. gabisa mindahin file. baru kali ini kecewa beli dilazada."
493,kampret kaga kebaca!!
494,"korup terus klo di copy ke fd,mengecewakan"
495,Kecewa deh hadeh
496,kecewa flashdisc gk bisa dipakai..blm apa2 sdh minta diformat dan kapasitas memory cuma 8.00 mb..gan sebelum dikirim pastikan dulu barangny bgs bisa dipakai
497,sangat mengecewakan mas bro dua kali saya beli dan dua2nya ga kepake plasdisk HPnya korut dua duanya KECEWA TUJUH TURUNAN saya
498,Saya sangat2 kecewa banget kenapa sih udah di tranfer malah di batalin barang nya gmn sih lazada...
499,"gambar tidak bagus dan ada merah2, pada layar, saya sandingkan dengan produk lain, supaya kelihatan perbedaanya, ternyata emang benar tv 24inch sharpnya gak beres, kecewa. pengen di minta tukar baru"
500,Saya pesen yg 16gb tapi yang saya terima 4gb mohon tanggung jawabnya saya kecewa banget pesanan dr 16gb jd 4gb jauh banget bedanya....
501,"pengiriman cepat, komplit, sama sesuai yg di tulis, tpi sdikit kecewa karena warna yg saya pesen nggak sesuai sama yg datang."
502,"Harga turun, akan tetapi pembayara tetap, pelanggan akan merasa sedikit kecewa."
503,Setelah nunggu proses pengiriman terlambat 1 minggu tau2 dibatalkan stock tdk ada.. Promonya ga jelas!!!
504,Paaaaaaarah
505,"KRN PESANAN TDK SESUAI DENGAN KIRIMANNYA ,DR WARNA SAJA SAYA PESAN HITAM DIKIRM PUTIH DAN TIDAK BISA DIPAKAI DI LABTOP ANAK SAYA . SEHARUSNYA TIDAH SEPERTI ITU YAH"
506,"Flashdisk tidak bisa di gunakan semuanya rusak. Penipu, bangsat. Jangan kalian beli lagi diperjuangkan ini. KECEWA. BELI 4 SEMUANYA RUSAK."
507,"Barang jelek, saya ditipu"
508,"kecewa, tidak berfungsi"
509,"kenapa seller abal2 bisa di lazada, mengurangi kepercayaan pada lazada.."
510,kecewa alias barang aspal ya lumayan buat isi mp3 sih banyak lagunya
511,"kecewa lahh, seperti ufd palsu, padahal spesifikasi yang dilampirkan di web original. contoh cover pack warna hijau, sedangkan yang dikirim warna merah. file hasil copy nya selalu corrupt. katanya ""best seller"", tapi kualitas mengeccewakan. baru kali ini beli di lazada mengecewakan. SAYA MINTA DITUKAR BARANGNYA DENGAN YANG SESUAI DI SPESIFIKASI"
512,"Kecewa sekali....pesan saat harbolnas (12-14 Des 2016) pas harga nya murah (sekitar 29k)...eh udah pesan ternyata di akhir bulan pesanan ditolak.... Kapok deh belanja di seller ini, gak tau barangnya gak ada atau takut rugi ngejualnya..."
513,"Barang ini jgn di beli, nyesal ntar. barang gk bisa kepakai."
514,Sumpah ya baru dtg barangnya gasabar pengen dipake. Barang udh dipake filenya gabisa dibuka semua. Kecewa
515,"Saya cukup kecewa, pesanan saya belum sampai juga, dan belum dpt kabar dr kurirnya"
516,hahaha sampah!!!!
517,Sy order otg flasdisk tp yg dtg flashdisk aja plus beda merk ordernya samsung dptnya hp...mau balikin lbh ribet lgi prosesnya...kecewa
518,"Sebenarnya. Saya kesal karena kiriman sampai lama. Hari jumat saya transaksi. Tibanya hari kamis, wow. 6 hari, tapi setelah saya lihat barangnya, bagus, cakep dan original kekesalan saya terobati, untuk lazada. Kedepan benahi sistem pengiriman , jempol"
519,kenapa pesanan saya mostnya tidak dikasih..saya merasa rugi...
520,Kecewa..flasdisk gak bisa dipakai
521,"gk sampai sebulan uda rusak, mau refund gk bisa alasan barang gk ada garansi padahal garansi satu tahun, pas ane bongkar hardisk dalamnya samsung...!!! cuma caseing aja seagate dalamnya murahan, buat kalian jangan pernah beli dari sini lagi klo gk mau kecewa kayak ane..."
522,Barang udah rusak di jual buat copy data tambah hilang semua tolong buat lazada kalo ada yg jual bikin kecewa seperti ini segera di blokir bikin image lzada jadi jelek
523,"Baru dilihat kapasitasnya apakah real atau tidak, lumayan mendekati real dr 32 gb space kosong yg tersedia hanya 28 gb. Tapi yg membuat kecewa adalah, warnanya yg tdk sesuai. Bisa dilihat pesannya warna apa, tp yg dikirim warna apa..Sudah ada jelas pilihannya, seharusnya tidak terjadi hal ini."
524,tulisan nya buy 1 get 1 tapi yang dikirim satu aja ... sungguh kecewa di bohongin begini
525,"ini yg kasih komentar sama yg kasih bintang lima temen2nya yg punya toko kali ya , atau orang2 yg beruntung , saya sangat kecewa barang kaga bisa dipake sama sekali ......semoga berkah mas / mba jualan nya ya , aamiin"
526,"Selamat pagi, Dengan hormat, saya agak sedikit kecewa dengan lazada pengiriman tidak sesuai barang yang di pesan dan nama pembeli tidak sesuai nama asli. Untuk itu saya harap kedepan lebih teliti lagi dalam mempacing barang agar konsumen tidak kecewa terima kasih. Hormat saya, Surma Muhdiana"
527,"Packing rapi dan pengiriman tepat waktu. Sejauh ini berfungsi dengan baik, harapannya semoga awet ni barang"
528,"Barangnya ok, cepat sampai"
529,"Ini ori, bagus tahan lama masih saya pake"
530,mantap
531,"Flashdisk ori, Packing bagus. Saya suka.Thx"
532,bagus mantap dah sesuai pesanan
533,Pengiriman cepat sipplahhh.......
534,"Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini"
535,oke
536,"Barang sesuai deskripsi,penjual ramah,respon cepat.."
537,pesanan sesuai dgn yg di gambar .....skrg sy lg coba smoga awet...
538,barangnya bagus banget.. sesuai dengan gambar dn deskripsi.. pengiriman cepat.. bagus dn recomended bangt..
539,pas cocok buat anda semua. bgus. sesuai deskripsi.
540,bagus ori!
541,Saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi. Untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang
542,good Product with reasonable Price
543,"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng"
544,bagus
545,"sampai cepat, barang sesuai."
546,bagus sesuai
547,Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya
548,"Packing Rapi, kualitas oke, fitur2 persis seperti deskripsi, desain keren... cuma yg kurang puas di segi kecepatan transfer hanya mentok di 9-10 Mb/s"
549,"Terima kasih, barang bagus dan respon penjual sgt baik."
550,"pengiriman cepat, packing cukup bagus"
551,"Packaging rapi, flashdiksnya ORI, kapasitasnya sesuai dengan detail produk yang dicantumkan dan foto dengan barangnya sesuai + barangnya datang sesuai tepat waktu. Makasih ya.."
552,Sip mantap
553,aman cepat pula
554,dikirim hari berikutnya dan barang mulus
555,Barang nya oke makasih
556,Barang good condition and delivery ok
557,mantap
558,Sangat puas dengan produknya. Terimakasih..
559,"barang dah sampai, makasih"
560,"warna sesuai pesanan, spek persis, ok dah"
561,"Barangnya bagus, kecil/compaq, dan packing baik"
562,Sesuai deskripsi
563,barang sesuai dengan gambar
564,Pengiriman cepat.. Packaging good.. Barang oke. Thnks seller Thnks Lazada
565,barangnya bagus. rapi tidak mengecewakan. akan tetapi bagus kalau ada Bonus pouch nya. hehhe
566,josss tenan
567,good
568,mantap barang gak minus sama sekali
569,Pokonya puas..
570,Barang sesuai dengan deskripsi dan berfungsi baik.
571,udah di trima ...barang OK Moga awet...
572,"pengiriman cepat, hr ini kirin lusa udh terima. packing rapi pake bubble jg. kwalitas product oke. Tq."
573,"Flashdisk nya bagus, sesuai picture, barang cepat sampai, kurir ramah"
574,real good
575,"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada"
576,sesuai spek yg saya mau.. jd oke lah
577,oke... mudah2an awet dan ga crash belum sempet d coba
578,"Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit. Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor."
579,"Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !"
580,Kualitas ok
581,ok barang sampai dengan Baik.. smoga terus di pertahankan...
582,Harga sangat murah mantep banget
583,barang sudah sampai dan bagus thanks lazada
584,"Mantab, speed konsisten, total size asli 1.81gb, pas. Sejauh ini masih normal digunakan. Nice job seller n Lazada"
585,"Bagus, sesuai foto"
586,"Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya"
587,Biarkan bintang yang berbicara …
588,produk dah sampai kemasan rapih pengiriman cepat barang bagus pembayaran cod tidak perlu diragukan lagi
589,produk original mantap semoga awet
590,Barang sampai 2 hari dengan selamat dan sesuai deskripsi
591,"thanks, respon cepat Hdd Ext 2TB sampai sesuai pesanan."
592,barang oke
593,Tumben ninja cepat pengirimannya
594,Mantapppp barang nya
595,"Memuaskan, produk sesuai deskripsi, packing bagus, dan penerimaan produk cepat untuk saya yg berada di jkt"
596,puas
597,okkkkk mantaaaaaaapppp ... goood
598,PUAS
599,"packing tanpa bubble warp. fisik no minus. Cuma 58 GB, bukan 64. ya lumayan"
600,"thks ya barang sdh sampai,smga cocok"
601,Sampe Sekarang masih Ok ne laptop...
602,Saya rekomendasikan beli disini
603,mantapp barang nya sesuai pesanan
604,Smuanya mntap..
605,"Trims Lazada & reseller, , barang sdh saya terima senin siang, penigiriman sesuai dengan yg di informasikan."
606,"Barang sudah diterima dgn baik. Packing rapih. Tp isinya cuma 58GB. Selebihnya, oke"
607,"Puas bgt pengiriman sesuai jadwal, barang bagus, packing rapih buat maen game enak bgt hihii, murah lagi, tenkyu lazada"
608,barang tlah diterima kondisi baik
609,brang cukup bagus
610,"Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini"
611,"pengiriman cepat packirng rapih harga murah, free ongkir"
612,barang asli dan original terimakasih maju terus toko jet store
613,siippp...thank lazada
614,"Baguss bangett kurir nya jga ramah, cakep pula wkwk. Ini 64gb tp cmn 58 sekian gb tp gpp lah yah... Pokok nya recomended deh...."
615,Barang mulusss mantapppppp
616,"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada"
617,barang ok packing rapih
